"Story","Title","Result","Date","Stability","Duration (s)"
"Inicio de sesion","Inicio de sesion en guru99","SUCCESS","2021-08-11T14:23:06.25768-05:00[America/Bogota]","0.0","21.05"
"Registrar nuevo cliente","Registrar nuevo cliente en guru99","SUCCESS","2021-08-12T10:06:54.2983046-05:00[America/Bogota]","0.0","27.75"
